timestamp,x,y,z,qx,qy,qz,qw
0.000000000,5.79281e-05,-6.69525e-06,0,0,0,0.00190242,0.999998
0.000000000,0.0128425,0.000110949,0,0,0,0.00196049,0.999998
0.000000000,0.0271356,-0.000145126,0,0,0,0.00181015,0.999998
0.000000000,0.0470113,0.000206556,0,0,0,0.00179545,0.999998
0.000000000,0.0583183,0.000474243,0,0,0,0.00181434,0.999998
0.000000000,0.0724335,0.00066326,0,0,0,0.0020002,0.999998
0.000000000,0.0918037,0.000831704,0,0,0,0.00274583,0.999996
0.000000000,0.114674,0.00109005,0,0,0,0.00311167,0.999995
0.000000000,0.140381,0.00121659,0,0,0,0.00293339,0.999996
0.000000000,0.168065,0.00157883,0,0,0,0.00282077,0.999996
0.000000000,0.198301,0.00202458,0,0,0,0.00313367,0.999995
0.000000000,0.229349,0.00289261,0,0,0,0.00369056,0.999993
0.000000000,0.26162,0.00317258,0,0,0,0.00459208,0.999989
0.000000000,0.295016,0.00381611,0,0,0,0.00505672,0.999987
0.000000000,0.327608,0.00479056,0,0,0,0.00541071,0.999985
0.000000000,0.362538,0.00536222,0,0,0,0.005877,0.999983
0.000000000,0.395472,0.00618363,0,0,0,0.00599385,0.999982
0.000000000,0.430043,0.00674333,0,0,0,0.00652323,0.999979
0.000000000,0.464018,0.00718983,0,0,0,0.00675155,0.999977
0.000000000,0.498177,0.00783498,0,0,0,0.00685246,0.999977
0.000000000,0.53232,0.00867873,0,0,0,0.00699169,0.999976
0.000000000,0.567006,0.00968018,0,0,0,0.00752066,0.999972
0.000000000,0.601329,0.0103177,0,0,0,0.00816243,0.999967
0.000000000,0.635155,0.0110151,0,0,0,0.00845663,0.999964
0.000000000,0.667969,0.0120779,0,0,0,0.00886835,0.999961
0.000000000,0.701473,0.0128788,0,0,0,0.00932033,0.999957
0.000000000,0.734183,0.0134527,0,0,0,0.00955027,0.999954
0.000000000,0.766247,0.0142604,0,0,0,0.00992303,0.999951
0.000000000,0.799759,0.0148538,0,0,0,0.0104139,0.999946
0.000000000,0.831821,0.0158634,0,0,0,0.0106381,0.999943
0.000000000,0.863623,0.0169226,0,0,0,0.0108011,0.999942
0.000000000,0.89499,0.0187625,0,0,0,0.0114822,0.999934
0.000000000,0.926222,0.0197773,0,0,0,0.012122,0.999927
0.000000000,0.957328,0.0210267,0,0,0,0.0127226,0.999919
0.000000000,0.988792,0.0223853,0,0,0,0.013476,0.999909
0.000000000,1.02032,0.0237018,0,0,0,0.0140792,0.999901
0.000000000,1.05114,0.0250244,0,0,0,0.0146607,0.999893
0.000000000,1.08257,0.0264151,0,0,0,0.0153505,0.999882
0.000000000,1.11427,0.0273792,0,0,0,0.015786,0.999875
0.000000000,1.14514,0.0286239,0,0,0,0.0160647,0.999871
0.000000000,1.17676,0.0300962,0,0,0,0.0158939,0.999874
0.000000000,1.20783,0.0316645,0,0,0,0.0160371,0.999871
0.000000000,1.23905,0.0333096,0,0,0,0.0166367,0.999862
0.000000000,1.27119,0.0343694,0,0,0,0.0170057,0.999855
0.000000000,1.30146,0.0359159,0,0,0,0.0172896,0.999851
0.000000000,1.33268,0.0376195,0,0,0,0.0177661,0.999842
0.000000000,1.36344,0.0393224,0,0,0,0.0180573,0.999837
0.000000000,1.39386,0.0413655,0,0,0,0.018388,0.999831
0.000000000,1.42404,0.0426315,0,0,0,0.0193821,0.999812
0.000000000,1.45489,0.0433811,0,0,0,0.0198808,0.999802
0.000000000,1.48444,0.0450172,0,0,0,0.0200794,0.999798
0.000000000,1.51469,0.046427,0,0,0,0.0200946,0.999798
0.000000000,1.54438,0.0488135,0,0,0,0.0204796,0.99979
0.000000000,1.57359,0.051007,0,0,0,0.0213667,0.999772
0.000000000,1.60193,0.0540166,0,0,0,0.0227303,0.999742
0.000000000,1.62982,0.0585194,0,0,0,0.025204,0.999682
0.000000000,1.65911,0.0639119,0,0,0,0.0286877,0.999588
0.000000000,1.68677,0.0722987,0,0,0,0.0337949,0.999429
0.000000000,1.71452,0.0790613,0,0,0,0.0411495,0.999153
0.000000000,1.74375,0.0888503,0,0,0,0.0492782,0.998785
0.000000000,1.77138,0.0975296,0,0,0,0.0583122,0.998298
0.000000000,1.79877,0.107956,0,0,0,0.0679296,0.99769
0.000000000,1.82514,0.119865,0,0,0,0.0783362,0.996927
0.000000000,1.85222,0.132098,0,0,0,0.089466,0.99599
0.000000000,1.87967,0.145857,0,0,0,0.100996,0.994887
0.000000000,1.90671,0.161172,0,0,0,0.113354,0.993555
0.000000000,1.93209,0.174664,0,0,0,0.125756,0.992061
0.000000000,1.95669,0.190345,0,0,0,0.138293,0.990391
0.000000000,1.98251,0.208815,0,0,0,0.150917,0.988546
0.000000000,2.0095,0.227971,0,0,0,0.163861,0.986483
0.000000000,2.0325,0.244537,0,0,0,0.17729,0.984159
0.000000000,2.05655,0.26365,0,0,0,0.190322,0.981722
0.000000000,2.08348,0.286289,0,0,0,0.203689,0.979036
0.000000000,2.10513,0.305768,0,0,0,0.217264,0.976113
0.000000000,2.12763,0.327359,0,0,0,0.230268,0.973127
0.000000000,2.14962,0.348349,0,0,0,0.243396,0.969927
0.000000000,2.16948,0.369227,0,0,0,0.256332,0.966589
0.000000000,2.18906,0.39156,0,0,0,0.269886,0.962892
0.000000000,2.2086,0.414527,0,0,0,0.282801,0.959179
0.000000000,2.22886,0.439479,0,0,0,0.295257,0.955418
0.000000000,2.24939,0.462457,0,0,0,0.307029,0.9517
0.000000000,2.27056,0.485862,0,0,0,0.316399,0.948626
0.000000000,2.29233,0.50847,0,0,0,0.323827,0.946116
0.000000000,2.31592,0.533211,0,0,0,0.33122,0.943554
0.000000000,2.3394,0.557175,0,0,0,0.338019,0.941139
0.000000000,2.36442,0.584034,0,0,0,0.343909,0.939003
0.000000000,2.38809,0.609392,0,0,0,0.348711,0.93723
0.000000000,2.41063,0.632931,0,0,0,0.353515,0.935429
0.000000000,2.43327,0.659153,0,0,0,0.358538,0.933515
0.000000000,2.45327,0.686285,0,0,0,0.364986,0.931013
0.000000000,2.46949,0.708076,0,0,0,0.374112,0.927383
0.000000000,2.48545,0.737075,0,0,0,0.385584,0.922673
0.000000000,2.49943,0.767361,0,0,0,0.398536,0.917153
0.000000000,2.51514,0.797812,0,0,0,0.412043,0.911164
0.000000000,2.52887,0.825973,0,0,0,0.425174,0.905111
